k,x,scalar_root,reduced_kirchhoff,reduced_norm,full_verified,full_kirchhoff,full_norm,vertices,edges
5,0.3249196962329063,0.7433885801423853,1.3877787807814457e-16,2.220446049250313e-16,True,3.885780586188048e-16,2.220446049250313e-16,40,60
7,0.22824347439014994,0.7746794809022759,1.1102230246251565e-16,5.551115123125783e-16,True,7.216449660063518e-16,7.771561172376096e-16,56,84
9,0.17632698070846498,0.7900767202360968,1.1102230246251565e-16,6.661338147750939e-16,True,1.1657341758564144e-15,6.661338147750939e-16,72,108
11,0.14377829399497333,0.7990906969288412,5.551115123125783e-17,8.881784197001252e-16,True,3.3306690738754696e-16,9.992007221626409e-16,88,132
13,0.12142198322226053,0.8049695383035644,6.938893903907228e-17,6.661338147750939e-16,True,7.077671781985373e-16,6.661338147750939e-16,104,156
15,0.10510423526567646,0.809092745304636,5.551115123125783e-17,4.440892098500626e-16,True,6.661338147750939e-16,1.5543122344752192e-15,120,180
17,0.09266364624202977,0.8121389114610011,6.938893903907228e-17,8.881784197001252e-16,True,3.0531133177191805e-16,9.992007221626409e-16,136,204
19,0.08286236245076677,0.8144786677160312,1.249000902703301e-16,8.881784197001252e-16,True,2.067790383364354e-15,1.4432899320127035e-15,152,228
21,0.07493964001908697,0.8163308774285245,2.1510571102112408e-16,2.220446049250313e-16,True,4.565792188770956e-15,4.440892098500626e-16,168,252
23,0.06840187392057948,0.8178328261915545,7.632783294297951e-17,6.661338147750939e-16,True,9.575673587391975e-16,8.881784197001252e-16,184,276
25,0.06291466725364976,0.8190748678608096,2.5673907444456745e-16,6.661338147750939e-16,True,5.5164206536062466e-15,7.771561172376096e-16,200,300
27,0.058243367469983404,0.8201188419585063,9.71445146547012e-17,8.881784197001252e-16,True,2.6853519408120974e-15,3.552713678800501e-15,216,324
29,0.05421842457591445,0.8210084697829942,1.1796119636642288e-16,4.440892098500626e-16,True,3.25434124093249e-15,1.5543122344752192e-15,232,348
31,0.050714260228040764,0.8217755211022592,6.245004513516506e-17,6.661338147750939e-16,True,2.851885394505871e-15,8.881784197001252e-16,248,372
33,0.047635871108430095,0.8224436277276866,1.8735013540549517e-16,8.881784197001252e-16,True,5.7592819402429996e-15,1.4432899320127035e-15,264,396
35,0.044910051784287815,0.823030727137337,6.938893903907228e-17,1.2212453270876722e-15,True,3.5110803153770576e-15,3.1086244689504383e-15,280,420
37,0.04247947864201227,0.8235506769691185,2.7755575615628914e-16,1.1102230246251565e-15,True,8.403000517631654e-15,3.9968028886505635e-15,296,444
39,0.04029862236583706,0.8240143505552966,2.0816681711721685e-16,4.440892098500626e-16,True,6.369904603786836e-15,2.886579864025407e-15,312,468
41,0.03833086160261813,0.8244303979541534,2.636779683484747e-16,3.3306690738754696e-16,True,1.0116907311896739e-14,9.992007221626409e-16,328,492
43,0.03654640505135073,0.8248057857152626,2.0816681711721685e-17,4.440892098500626e-16,True,1.3322676295501878e-15,3.3306690738754696e-15,344,516
45,0.03492076949174773,0.8251461868748375,1.8388068845354155e-16,3.3306690738754696e-16,True,8.677086826835989e-15,2.4424906541753444e-15,360,540
47,0.03343364756910704,0.8254562674674135,1.457167719820518e-16,1.6653345369377348e-15,True,5.235395450498004e-15,3.1086244689504383e-15,376,564
49,0.032068053618079614,0.8257399001990893,2.3592239273284576e-16,8.881784197001252e-16,True,1.2521234049600594e-14,1.5543122344752192e-15,392,588
51,0.030809670975751834,0.8260003259864656,1.1102230246251565e-16,2.220446049250313e-16,True,2.248201624865942e-15,4.440892098500626e-15,408,612
53,0.029646347415992442,0.8262402776079287,2.2898349882893854e-16,4.440892098500626e-16,True,1.3496148643099559e-14,5.218048215738236e-15,424,636
55,0.028567700907008275,0.8264620754354303,5.551115123125783e-17,1.2212453270876722e-15,True,1.5543122344752192e-15,3.885780586188048e-15,440,660
57,0.027564808532320278,0.8266677023285921,1.2836953722228372e-16,2.220446049250313e-16,True,5.766220834146907e-15,2.6645352591003757e-15,456,684
59,0.026629958798956032,0.826858862793338,6.245004513516506e-17,1.5543122344752192e-15,True,4.631711680858075e-15,1.7763568394002505e-15,472,708
61,0.02575645275579316,0.8270370301287534,1.8388068845354155e-16,1.1102230246251565e-15,True,9.92608772953929e-15,1.9984014443252818e-15,488,732
63,0.024938443055046004,0.8272034843124071,2.42861286636753e-16,2.220446049250313e-16,True,1.6105172750968677e-14,2.9976021664879227e-15,504,756
65,0.024170802770211622,0.8273593426779667,2.3245294578089215e-16,4.440892098500626e-16,True,1.345798472662807e-14,5.440092820663267e-15,520,780
67,0.023449017742496272,0.827505584934725,2.0816681711721685e-16,1.4432899320127035e-15,True,1.318042897047178e-14,3.219646771412954e-15,536,804
69,0.022769097674461936,0.8276430737094684,2.7755575615628914e-17,2.220446049250313e-16,True,2.733924198139448e-15,4.440892098500626e-16,552,828
71,0.022127502268889432,0.8277725715179647,1.734723475976807e-17,1.7763568394002505e-15,True,7.181755190543981e-16,1.9984014443252818e-15,568,852
73,0.021521079523522505,0.8278947548692809,1.0061396160665481e-16,8.881784197001252e-16,True,7.0186911838021615e-15,4.440892098500626e-15,584,876
75,0.020947013909659987,0.8280102260522626,1.4224732503009818e-16,8.881784197001252e-16,True,1.1088352458443751e-14,3.3306690738754696e-15,600,900
77,0.020402782635333513,0.8281195230364803,1.3183898417423734e-16,1.9984014443252818e-15,True,1.0071804501521342e-14,3.552713678800501e-15,616,924
79,0.019886118558698172,0.8282231278302455,2.0122792321330962e-16,2.220446049250313e-16,True,1.6351503484557384e-14,1.9984014443252818e-15,632,948
81,0.01939497860095203,0.8283214735689819,1.1102230246251565e-16,1.5543122344752192e-15,True,7.608497165634276e-15,1.9984014443252818e-15,648,972
83,0.018927516730183544,0.8284149505533007,1.3183898417423734e-16,8.881784197001252e-16,True,9.440365156265784e-15,2.4424906541753444e-15,664,996
85,0.018482060762539353,0.8285039114138908,1.1102230246251565e-16,3.3306690738754696e-16,True,4.107825191113079e-15,9.992007221626409e-15,680,1020
87,0.018057092365849372,0.8285886755470171,1.1102230246251565e-16,4.440892098500626e-16,True,1.6653345369377348e-15,3.9968028886505635e-15,696,1044
89,0.0176512297614967,0.8286695329379812,1.97758476261356e-16,1.5543122344752192e-15,True,1.495678580987203e-14,2.3314683517128287e-15,712,1068
91,0.01726321270905985,0.8287467474688247,1.491862189340054e-16,4.440892098500626e-16,True,1.13988679606436e-14,8.659739592076221e-15,728,1092
