graph,n,generator_exponent,group_order,rotation_determinant,rotation_angle,equivariance_residual_max,equivariance_residual_rms,averaged_norm_min,averaged_norm_max,averaged_norm_deficit_max,averaged_kirchhoff_residual,distance_original_to_average_max
flower_J5,5,1,10,1.0000000000000009,1.2869815473646322,1.9977442561406973,0.8236868440116164,0.4056853897258058,0.8935339040132891,0.5943146102741942,2.7755575615628914e-16,1.1574465365484654
flower_J5,5,3,10,0.9999999999999997,2.4113175230453763,1.8517556177606398,0.9920320610333969,0.39978821750345805,0.9656070504390659,0.600211782496542,3.3306690738754696e-16,1.0986632217871384
flower_J5,5,7,10,0.9999999999999991,2.411317523045376,1.8517556177606391,0.9920320610333967,0.3997882175034574,0.9656070504390653,0.6002117824965426,3.3306690738754696e-16,1.0986632216530388
flower_J5,5,9,10,0.9999999999999996,1.2869815473646324,1.997744256140697,0.8236868440116164,0.4056853897258049,0.8935339040132863,0.5943146102741951,3.3306690738754696e-16,1.15744653649863
flower_J7,7,1,14,0.9999999999999999,1.6028671653081001,1.8075675916626917,1.0725928823239637,0.025745884750934152,0.7225858399020627,0.9742541152490658,4.2327252813834093e-16,1.3365019233032518
flower_J7,7,3,14,1.0000000000000004,2.0837454112344993,1.898702416932366,1.1943952787725187,0.032535134793899356,0.5144751260243903,0.9674648652061006,4.996003610813204e-16,1.3068004561691626
flower_J7,7,5,14,0.9999999999999999,1.909259704238885,1.9837916874777906,1.283649534136474,0.10209749468338299,0.7805265934801734,0.897902505316617,5.551115123125783e-16,1.3128536236766368
flower_J7,7,9,14,1.0000000000000013,1.9092597042388846,1.9837916874777912,1.2836495341364744,0.10209749468338346,0.7805265934801764,0.8979025053166165,6.106226635438361e-16,1.2691886062053401
flower_J7,7,11,14,1.0000000000000002,2.0837454112344993,1.8987024169323659,1.1943952787725187,0.03253513479389919,0.5144751260243914,0.9674648652061009,4.996003610813204e-16,1.3449857071615965
flower_J7,7,13,14,1.0000000000000013,1.6028671653081,1.807567591662692,1.0725928823239637,0.025745884750933437,0.7225858399020648,0.9742541152490666,4.163336342344337e-16,1.3277610609086292
flower_J9,9,1,18,1.0000000000000004,1.3443810041591224,1.9572491024755416,1.0843224273875782,0.1508470950060563,0.564281956712609,0.8491529049939437,4.996003610813204e-16,1.3556144387117148
flower_J9,9,5,18,1.0000000000000007,2.990276813776721,1.9473798141302883,1.17347901905976,0.11008533058512433,0.5375521172842325,0.8899146694148756,4.163336342344337e-16,1.3562620202210092
flower_J9,9,7,18,0.9999999999999993,2.3413338071769783,1.9994982754778556,1.2300661273168942,0.015186441000737341,0.47713177285949854,0.9848135589992627,3.3306690738754696e-16,1.2553638952820254
