bridgeless,bridges,connected,cubic,cycle_rank,edges,elapsed_seconds,gram_rank,graph_sha256,max_conservation_residual,max_unit_norm_residual,method,name,simple,solver_cost,solver_nfev,three_edge_coloring_search_nodes,three_edge_coloring_status,valid_s2_certificate,vertices
True,[],True,True,6,15,0.010321451999971032,3,04880e95a8ddc143fa98c4eeb7383367a8007e69f2688a06e7b5e20a57a598d4,6.938893903907228e-16,3.974591544775308e-09,cycle_space_nonlinear_least_squares,petersen,True,1.5200285276585074e-16,33,31,not_colourable,True,10
True,[],True,True,3,6,0.00031482700001106423,3,d65ffb1d8d01ba8a6be14162941989d6f211d5c778d7f4fe75935f77dd1cadbe,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,k4,True,,,3,colourable,True,4
True,[],True,True,4,9,0.00029210600007445464,2,aa88b8b77b70955cf2ab65ef282bddcbfc7854127defb792b40b46cd46c95877,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,k33,True,,,4,colourable,True,6
True,[],True,True,8,21,0.00046468799996546295,2,d48a3ea8352c76db551d17bdb57f04856c02770f77806ba77c4d721dae53cf79,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,heawood,True,,,13,colourable,True,14
True,[],True,True,11,30,0.0006466400000135764,3,df10052352918c23dc5448d36c9091bf68372a4784e1eb4b6f2e7e34c8336381,0.0,1.1102230246251565e-16,exact_three_edge_colouring_construction,desargues,True,,,16,colourable,True,20
True,[],True,True,11,30,0.04478138100000706,3,521b17aa82a96f43175279e54bbc57d916005dc8adf2fc66d085b60c6109f289,1.1102230246251565e-15,9.275135326447526e-09,cycle_space_nonlinear_least_squares,flower_J5,True,1.603315461333451e-15,39,335,not_colourable,True,20
True,[],True,True,15,42,0.47290387099997133,3,e85a65b74ece9a0d2d747da7d672b17c487ed992c8554e603bab3bf94a239ffd,1.1102230246251565e-15,1.243621139401796e-08,cycle_space_nonlinear_least_squares,flower_J7,True,2.0077378705416813e-15,31,1455,not_colourable,True,28
True,[],True,True,19,54,7.698915857999964,3,f3db00b004a8368852efd330f03cebdff63b3a0e08cf3e19ed6339cf35d90a1d,1.7208456881689926e-15,7.794372636205082e-08,cycle_space_nonlinear_least_squares,flower_J9,True,8.702577848564183e-14,42,5935,not_colourable,True,36
True,[],True,True,23,66,5.196823842000072,3,8e8690ce6f661295a92615947a911fb9811b10d6553e3974ccc1aef0aa99c26f,1.9984014443252818e-15,4.805847142463904e-08,cycle_space_nonlinear_least_squares,flower_J11,True,4.893451432175883e-14,40,23855,not_colourable,True,44
True,[],True,True,27,78,8.706129056999998,3,1fe30935bc6e8aaae410ea4456e1cf95bd9c7e6384042ffa03d2d07e16252dbe,2.1649348980190553e-15,2.086976169657362e-08,cycle_space_nonlinear_least_squares,flower_J13,True,8.908288088131713e-15,44,95535,not_colourable,True,52
